uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC5_P30_C30,run-20251216-133907_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9325166666666667,0.0,1865.0333333333333,1865.0333333333333,1933.3333333333333,0.0,16.1,30.0,0.41379310344827586,1.5517241379310345,2.206896551724138,2647.4137931034484,3284.0344827586205,1.0,1.6551724137931034,1.7241379310344827,2.7241379310344827,2.896551724137931,1.0,3.9677072563459435,0.5,0.16666666666666666,3.75,3.75,3.75,13.233333333333333,16.466666666666665,4342.066666666667,1.0,1.0,0.9666666666666667,0.9325166666666667
UC5_P30_C30,run-20251216-134319_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9982166666666666,0.0,1996.4333333333334,1996.4333333333334,2000.0,0.0,13.966666666666667,30.0,0.23333333333333334,1.4333333333333333,2.1,2559.4,3214.5666666666666,1.2333333333333334,2.3666666666666667,3.0,3.1666666666666665,4.233333333333333,1.0,4.081895217690059,0.0,0.0,,,,12.466666666666667,15.833333333333334,1425.8333333333333,1.0,1.0,1.0,0.9982166666666666
UC5_P30_C30,run-20251216-134728_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9652166666666667,0.0,1930.4333333333334,1930.4333333333334,1933.3333333333333,0.0,18.733333333333334,30.0,0.13793103448275862,1.3103448275862069,1.8620689655172413,2653.310344827586,3300.7586206896553,0.9310344827586207,1.4137931034482758,1.9310344827586208,2.413793103448276,2.5172413793103448,1.0,4.033523915668253,1.6666666666666667,0.16666666666666666,11.5,11.5,11.5,9.866666666666667,13.166666666666666,11779.266666666666,1.0,0.9666666666666667,0.9666666666666667,0.9985
UC5_P30_C30,run-20251216-135140_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9323833333333333,0.0,1864.7666666666667,1864.7666666666667,1933.3333333333333,0.0,17.433333333333334,30.0,0.5862068965517241,1.7241379310344827,2.4482758620689653,2935.103448275862,3660.896551724138,0.9310344827586207,2.0,2.4827586206896552,3.7586206896551726,4.551724137931035,1.0,4.049177647200683,0.0,0.03333333333333333,0.0,0.0,0.0,13.8,17.0,1532.0,1.0,1.0,0.9666666666666667,0.9323833333333333
UC5_P30_C30,run-20251216-135549_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9982333333333334,0.0,1996.4666666666667,1996.4666666666667,2000.0,0.0,17.033333333333335,30.0,0.1,1.4333333333333333,1.9,2844.4,3553.633333333333,0.9666666666666667,1.8333333333333333,2.1,2.566666666666667,3.2666666666666666,1.0,3.7051735820151834,7513.933333333333,0.06666666666666667,225418.0,225418.0,225418.0,14.8,17.333333333333332,2138.233333333333,1.0,1.0,1.0,0.9982333333333334
UC5_P30_C30,run-20251216-135959_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9654833333333334,0.0,1930.9666666666667,1930.9666666666667,1933.3333333333333,0.0,15.933333333333334,30.0,0.27586206896551724,1.6551724137931034,2.2413793103448274,2648.4137931034484,3296.4137931034484,1.2758620689655173,2.7241379310344827,3.2758620689655173,3.8275862068965516,5.068965517241379,1.0,4.00495720208623,0.36666666666666664,0.13333333333333333,2.75,2.75,2.75,9.033333333333333,12.166666666666666,8301.166666666666,1.0,0.9666666666666667,0.9666666666666667,0.9987758620689655
UC5_P30_C30,run-20251216-140408_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9333333333333333,0.0,1866.6666666666667,1866.6666666666667,1866.6666666666667,0.0,20.833333333333332,30.0,0.2857142857142857,1.4285714285714286,2.0357142857142856,2751.75,3425.035714285714,1.4285714285714286,1.9642857142857142,2.142857142857143,2.3214285714285716,4.642857142857143,1.0,4.103232898391296,0.5333333333333333,0.13333333333333333,4.0,4.0,4.0,9.066666666666666,12.5,10323.7,1.0,0.9666666666666667,0.9333333333333333,0.9655172413793104
UC5_P30_C30,run-20251216-140819_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9648500000000001,0.0,1929.7,1929.7,1933.3333333333333,0.0,19.633333333333333,30.0,0.06896551724137931,1.4482758620689655,2.0344827586206895,2661.206896551724,3345.6206896551726,0.7586206896551724,1.8275862068965518,3.413793103448276,3.8620689655172415,4.172413793103448,1.0,3.9600632249099426,0.9666666666666667,0.16666666666666666,5.8,5.8,5.8,12.5,15.866666666666667,690.8333333333334,1.0,1.0,0.9666666666666667,0.9648500000000001
UC5_P30_C30,run-20251216-141227_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9329166666666667,0.0,1865.8333333333333,1865.8333333333333,1866.6666666666667,0.0,19.133333333333333,30.0,0.25,1.7857142857142858,2.4285714285714284,2738.0714285714284,3429.25,1.0357142857142858,3.4642857142857144,3.4642857142857144,3.7142857142857144,4.607142857142857,1.0,4.086037029240918,0.8,0.2,5.5,5.75,5.75,9.9,13.233333333333333,13346.4,1.0,0.9666666666666667,0.9333333333333333,0.9650862068965518
UC5_P40_C10,run-20251216-105101_uc5_p40_c10_m2000_r10_s256_DIRECT,0.9249875,0.0,1849.975,1849.975,1850.0,0.0,1.65,10.0,0.1891891891891892,1.3243243243243243,1.972972972972973,879.2702702702703,1173.945945945946,2.7837837837837838,3.4594594594594597,3.6486486486486487,3.7837837837837838,5.837837837837838,1.0,4.208917989865617,0.925,0.2,5.5,5.5,5.5,5.8,9.05,18119.0,1.0,0.925,0.925,0.9999864864864865
