uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC5_P40_C30,run-20251216-130054_uc5_p40_c30_m2000_r10_s256_DIRECT,0.775,0.075,10.333333333333334,10.333333333333334,10.333333333333334
UC5_P40_C30,run-20251216-130508_uc5_p40_c30_m2000_r10_s256_DIRECT,0.325,0.075,4.333333333333333,4.333333333333333,4.333333333333333
UC5_P40_C30,run-20251216-130920_uc5_p40_c30_m2000_r10_s256_DIRECT,0.375,0.075,5.0,5.0,5.0
UC5_P40_C30,run-20251216-131331_uc5_p40_c30_m2000_r10_s256_DIRECT,2.025,0.2,9.0,9.0,9.0
UC5_P40_C30,run-20251216-131747_uc5_p40_c30_m2000_r10_s256_DIRECT,1.525,0.175,8.714285714285714,8.714285714285714,8.714285714285714
UC5_P40_C30,run-20251216-132200_uc5_p40_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P40_C30,run-20251216-132617_uc5_p40_c30_m2000_r10_s256_DIRECT,1.6,0.075,21.333333333333332,21.333333333333332,21.333333333333332
UC5_P40_C30,run-20251216-133030_uc5_p40_c30_m2000_r10_s256_DIRECT,0.775,0.15,5.2,5.2,5.2
UC5_P50_C10,run-20251216-100908_uc5_p50_c10_m2000_r10_s256_DIRECT,0.38,0.06,6.333333333333333,6.333333333333333,6.333333333333333
UC5_P50_C10,run-20251216-101320_uc5_p50_c10_m2000_r10_s256_DIRECT,0.48,0.16,3.4285714285714284,3.4285714285714284,3.4285714285714284
UC5_P50_C10,run-20251216-101734_uc5_p50_c10_m2000_r10_s256_DIRECT,0.54,0.08,6.75,6.75,6.75
UC5_P50_C10,run-20251216-102143_uc5_p50_c10_m2000_r10_s256_DIRECT,1.24,0.16,7.75,7.75,7.75
UC5_P50_C10,run-20251216-102554_uc5_p50_c10_m2000_r10_s256_DIRECT,0.72,0.12,6.0,6.0,6.0
UC5_P50_C10,run-20251216-103001_uc5_p50_c10_m2000_r10_s256_DIRECT,0.26,0.1,3.25,3.25,3.25
UC5_P50_C10,run-20251216-103413_uc5_p50_c10_m2000_r10_s256_DIRECT,0.44,0.1,4.4,4.4,4.4
UC5_P50_C10,run-20251216-103820_uc5_p50_c10_m2000_r10_s256_DIRECT,0.54,0.14,4.5,4.5,4.5
UC5_P50_C10,run-20251216-104230_uc5_p50_c10_m2000_r10_s256_DIRECT,0.38,0.1,3.8,3.8,3.8
UC5_P50_C10,run-20251216-104644_uc5_p50_c10_m2000_r10_s256_DIRECT,0.52,0.08,6.5,6.5,6.5
UC5_P50_C20,run-20251216-091217_uc5_p50_c20_m2000_r10_s256_DIRECT,0.26,0.08,3.25,3.25,3.25
UC5_P50_C20,run-20251216-091625_uc5_p50_c20_m2000_r10_s256_DIRECT,0.12,0.04,3.0,3.0,3.0
UC5_P50_C20,run-20251216-092034_uc5_p50_c20_m2000_r10_s256_DIRECT,0.28,0.08,3.5,3.5,3.5
UC5_P50_C20,run-20251216-092446_uc5_p50_c20_m2000_r10_s256_DIRECT,1.92,0.2,9.6,9.6,9.6
UC5_P50_C20,run-20251216-092900_uc5_p50_c20_m2000_r10_s256_DIRECT,0.3,0.14,2.1666666666666665,2.1666666666666665,2.1666666666666665
UC5_P50_C20,run-20251216-093311_uc5_p50_c20_m2000_r10_s256_DIRECT,1.06,0.12,10.6,10.6,10.6
UC5_P50_C20,run-20251216-093722_uc5_p50_c20_m2000_r10_s256_DIRECT,0.46,0.1,5.75,5.75,5.75
UC5_P50_C20,run-20251216-094131_uc5_p50_c20_m2000_r10_s256_DIRECT,0.8,0.18,4.75,4.75,4.75
UC5_P50_C20,run-20251216-094539_uc5_p50_c20_m2000_r10_s256_DIRECT,0.68,0.16,4.2,5.0,5.0
UC5_P50_C20,run-20251216-094948_uc5_p50_c20_m2000_r10_s256_DIRECT,0.1,0.08,1.6666666666666667,1.6666666666666667,1.6666666666666667
